Element Type,Text,URL,Raw
Hyperlink,AIA Connect,https://www.aia.com.hk//en/help-and-support/aia-connect,"<a class=""cmp-navigation2__item-link-text cmp-navigation2__item-link-text-level-1"" data-cmp-clickable="""" href=""/en/help-and-support/aia-connect"" title=""AIA Connect"">AIA Connect
            </a>"
Hyperlink,Policy Service Application for AIA Customer (Electronic Authentication & Submission),https://www.aia.com.hk//en/help-and-support/customer-mobile-email-address-registration,"<a class=""cmp-navigation2__item-link-text cmp-navigation2__item-link-text-level-1"" data-cmp-clickable="""" href=""/en/help-and-support/customer-mobile-email-address-registration"" title=""Policy Service Application for AIA Customer (Electronic Authentication &amp; Submission)"">Policy Service Application for AIA Customer (Electronic Authentication &amp; Submission)
            </a>"
Hyperlink,Change of Beneficiary,https://www.aia.com.hk//en/customer-corner/ichange/remote-signature/common/validation.html?formId=COB,"<a class=""cmp-navigation2__item-link-text cmp-navigation2__item-link-text-level-2"" data-cmp-clickable="""" href=""/en/customer-corner/ichange/remote-signature/common/validation.html?formId=COB"" title=""Change of Beneficiary"">Change of Beneficiary
            </a>"
Hyperlink,AIA Contact update,https://www.aia.com.hk//en/customer-corner/ichange/contact-update/select-updater.html,"<a class=""cmp-navigation2__item-link-text cmp-navigation2__item-link-text-level-2"" data-cmp-clickable="""" href=""/en/customer-corner/ichange/contact-update/select-updater.html"" title=""AIA Contact update"">AIA Contact update
            </a>"
Hyperlink,Product Brochures,https://www.aia.com.hk//en/help-and-support/product-brochures-individuals,"<a class=""cmp-navigation2__item-link-text cmp-navigation2__item-link-text-level-1"" data-cmp-clickable="""" href=""/en/help-and-support/product-brochures-individuals"" title=""Product Brochures"">Product Brochures
            </a>"
Hyperlink,Forms,https://www.aia.com.hk//en/help-and-support/forms-individuals,"<a class=""cmp-navigation2__item-link-text cmp-navigation2__item-link-text-level-1"" data-cmp-clickable="""" href=""/en/help-and-support/forms-individuals"" title=""Forms"">Forms
            </a>"
Hyperlink,Information and FAQ,https://www.aia.com.hk//en/help-and-support/information-and-faq,"<a class=""cmp-navigation2__item-link-text cmp-navigation2__item-link-text-level-1"" data-cmp-clickable="""" href=""/en/help-and-support/information-and-faq"" title=""Information and FAQ"">Information and FAQ
            </a>"
Hyperlink,Important Information,https://www.aia.com.hk//en/help-and-support/information-and-faq/important-information,"<a class=""cmp-navigation2__item-link-text cmp-navigation2__item-link-text-level-2"" data-cmp-clickable="""" href=""/en/help-and-support/information-and-faq/important-information"" title=""Important Information"">Important Information
            </a>"
Hyperlink,Useful Information,https://www.aia.com.hk//en/help-and-support/information-and-faq/useful-information,"<a class=""cmp-navigation2__item-link-text cmp-navigation2__item-link-text-level-2"" data-cmp-clickable="""" href=""/en/help-and-support/information-and-faq/useful-information"" title=""Useful Information"">Useful Information
            </a>"
Hyperlink,About Policy Dividend,https://www.aia.com.hk//en/help-and-support/information-and-faq/about-policy-dividend,"<a class=""cmp-navigation2__item-link-text cmp-navigation2__item-link-text-level-2"" data-cmp-clickable="""" href=""/en/help-and-support/information-and-faq/about-policy-dividend"" title=""About Policy Dividend"">About Policy Dividend
            </a>"
